10	No	名詞,*,*,*,*,*,*	名詞,"*","*","*"
2A	Yes	動詞,*,*,*,*,基本形,*	"動詞", "*", "連体形-一般", "*";"動詞", "*", "終止形-一般", "*"
2D	Yes	動詞,*,*,*,*,体言接続,*	"助動詞","*","連体形-補助","*"
2G	Yes	動詞,*,*,*,*,連用形,*	"動詞", "*", "連用形-一般", "*"
2H	Yes	動詞,*,*,*,*,連用タ接続,*	"動詞", "*", "連用形-促音便", "*"
2M	Yes	動詞,*,*,*,*,未然形,*	"助動詞", "*","未然形-一般","*"
2N	Yes	動詞,*,*,*,*,未然ウ接続,*	"動詞", "*", "意志推量形", "*"
2P	Yes	動詞,*,*,*,*,未然ヌ接続,*	"助動詞" ,"*","未然形-一般","*"
2S	Yes	動詞,*,*,*,*,仮定形,*	"動詞","*","仮定形-一般","*"
2U	Yes	動詞,*,*,*,*,仮定縮約１,*	"動詞", "*", "仮定形-一般","*"
2W	Yes	動詞,*,*,*,*,命令ｉ,*	"動詞","*","命令形","*"
2X	Yes	動詞,*,*,*,*,命令ｒｏ,*	"動詞","*","命令形","*"
2Y	Yes	動詞,*,*,*,*,命令ｙｏ,*	"助動詞","*","命令形","*"
2g	Yes	動詞,*,*,*,一段,連用形,*; 動詞,*,*,*,一段・クレル,連用形,*; 動詞,*,*,*,一段・得ル,連用形,*; 動詞,*,*,*,カ変・クル,連用形,*; 動詞,*,*,*,カ変・来ル,連用形,*; 動詞,*,*,*,サ変・スル,連用形,*; 動詞,*,*,*,サ変・−スル,連用形,*; 動詞,*,*,*,サ変・−ズル,連用形,*; 動詞,*,*,*,五段・サ行,連用形,*	動詞","下一段","連用形-一般","*";"動詞","上一段","連用形-一般","*";"動詞","カ行変格","連用形-一般","*";"動詞","サ行変格","連用形-一般","*";"動詞","五段-サ行","連用形","*"
2m	Yes	動詞,*,*,*,一段,未然形,*	"動詞","下一段","未然形-一般","*"
39	No	副詞,*,*,*,*,*,*	"副詞","*","*","*"
3A	Yes	形容詞,*,*,*,*,基本形,*	"形容詞", "*","終止形-一般","*";"形容詞", "*","連体形-一般","*"
3C	Yes	形容詞,*,*,*,*,文語基本形,*	"助動詞","文語助動詞","終止形-一般","*"
3D	Yes	形容詞,*,*,*,*,体言接続,*	"助動詞","文語助動詞","連体形-一般","*"
3H	Yes	形容詞,*,*,*,*,連用タ接続,*	"形容詞","*","連用形-促音便","*"
3I	Yes	形容詞,*,*,*,*,連用テ接続,*	"形容詞","*","連用形-一般","*"
3J	Yes	形容詞,*,*,*,*,連用テ接続,*	"形容詞","*","連用形-一般","*"
3K	Yes	形容詞,*,*,*,*,連用ゴザイ接続,*	"形容詞","*","連用形-一般","*"
3L	Yes	形容詞,*,*,*,*,ガル接続,*	"形容詞","*","語幹-一般","*"
3N	Yes	形容詞,*,*,*,*,未然ウ接続,*	"形容詞","*","意志推量形","*"
3S	Yes	形容詞,*,*,*,*,仮定形,*	"形容詞","*","仮定形-一般","*"
3T	Yes	形容詞,*,*,*,*,仮定縮約１,*	"形容詞", "*", "仮定形-一般","*"
3U	Yes	形容詞,*,*,*,*,仮定縮約２,*	"形容詞","*","仮定形-融合","*"
40	No	接続詞,*,*,*,*,*,*	"接続詞","*","*","*"
60	Yes	助詞,*,*,*,*,*,*; 名詞,非自立,副詞可能,*,*,*,きり; 名詞,非自立,副詞可能,*,*,*,っきり	"助詞","*","*","*";"名詞-普通名詞-副詞可能","*","*","きり";"名詞-普通名詞-副詞可能","*","*","っきり"
69	Yes	助詞,格助詞,一般,*,*,*,の	"助詞-格助詞", "*", "*", "の"
6A	Yes	助詞,終助詞,*,*,*,*,わ	"助詞-終助詞","*","*","わ"
6E	Yes	助詞,終助詞,*,*,*,*,ね; 助詞,終助詞,*,*,*,*,な; 助詞,終助詞,*,*,*,*,かい	"助詞-終助詞","*","*","わ";"助詞-終助詞","*","*","な";"助詞-終助詞","*","*","かい"
6G	Yes	助詞,格助詞,一般,*,*,*,が; 助詞,格助詞,一般,*,*,*,の; 助詞,格助詞,一般,*,*,*,を; 助詞,並立助詞,*,*,*,*,や; 助詞,特殊,*,*,*,*,にゃ	"助詞-格助詞","*","*","が";"助詞-格助詞","*","*","の";"助詞-格助詞","*","*","を";"助詞-副助詞","*","*","や";"助詞-格助詞","*","*","にゃ"
6H	Yes	助詞,接続助詞,*,*,*,*,て; 助詞,接続助詞,*,*,*,*,で	"助詞-接続助詞","*","*","て";"助詞-接続助詞","*","*","で"
6K	Yes	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か; 助詞,終助詞,*,*,*,*,っけ	"助詞-副助詞","*","*","か";"助詞-終助詞","*","*","か";"助詞-終助詞","*","*","っけ"
6P	Yes	助詞,格助詞,一般,*,*,*,に; 助詞,格助詞,一般,*,*,*,へ; 助詞,格助詞,一般,*,*,*,で; 助詞,格助詞,一般,*,*,*,から; 助詞,副助詞,*,*,*,*,まで; 助詞,格助詞,一般,*,*,*,より; 助詞,格助詞,一般,*,*,*,と; 助詞,接続助詞,*,*,*,*,つつ; 助詞,接続助詞,*,*,*,*,ながら	"助詞-格助詞","*","*","に";"助詞-格助詞","*","*","へ";"助詞-格助詞","*","*","で";"助詞-格助詞","*","*","から";"助詞-副助詞","*","*","まで";"助詞-格助詞","*","*","より";"助詞-格助詞","*","*","と";"助詞-接続助詞","*","*","つつ";"助詞-接続助詞","*","*","ながら"
6Q	Yes	助詞,接続助詞,*,*,*,*,ちゃ; 助詞,接続助詞,*,*,*,*,じゃ; 助詞,格助詞,連語,*,*,*,って; 助詞,接続助詞,*,*,*,*,と; 助詞,接続助詞,*,*,*,*,ば; 助動詞,*,*,*,特殊・タ,仮定形,た; 助動詞,*,*,*,特殊・タ,仮定形,だ; 助詞,接続助詞,*,*,*,*,けれど; 助詞,接続助詞,*,*,*,*,けど; 助詞,接続助詞,*,*,*,*,ど; 助詞,接続助詞,*,*,*,*,が; 助詞,接続助詞,*,*,*,*,から; 助詞,接続助詞,*,*,*,*,し; 助詞,接続助詞,*,*,*,*,や; 助詞,接続助詞,*,*,*,*,なり; 助詞,格助詞,一般,*,*,*,を; 名詞,非自立,副詞可能,*,*,*,きり; 名詞,非自立,副詞可能,*,*,*,っきり	"助詞-接続助詞","*","*","ちゃ";"助詞-接続助詞","*","*","じゃ";"助詞-格助詞","*","*","って";"助詞-接続助詞","*","*","と";"助詞-接続助詞","*","*","ば";"助動詞","助動詞-タ","仮定形-一般","た";"助動詞","助動詞-ダ","仮定形-一般","だ";"助詞-接続助詞","*","*","けれど";"助詞-接続助詞","*","*","けど";"助詞-接続助詞","*","*","ど";"助詞-接続助詞","*","*","が";"助詞-接続助詞","*","*","から";"助詞-接続助詞","*","*","し";"助詞-接続助詞","*","*","や";"助詞-接続助詞","*","*","なり";"助詞-格助詞","*","*","を";"名詞-普通名詞-副詞可能","*","*","きり";"名詞-普通名詞-副詞可能","*","*","っきり"
6R	Yes	助動詞,*,*,*,特殊・ダ,仮定形,だ	"助動詞","助動詞-ダ","仮定形-一般","だ"
6T	Yes	助詞,係助詞,*,*,*,*,は; 助詞,係助詞,*,*,*,*,も; 助詞,副助詞,*,*,*,*,ばかり; 助詞,副助詞,*,*,*,*,ばっかり	"助詞-係助詞","*","*","は";"助詞-係助詞","*","*","も";"助詞-副助詞","*","*","ばかり";"助詞-副助詞","*","*","ばっかり"
7A	Yes	助動詞,*,*,*,特殊・ダ,基本形,だ	"助動詞","助動詞-ダ","終止形-一般","だ";"助動詞","助動詞-タ","終止形-一般","た"
7D	Yes	助動詞,*,*,*,特殊・ダ,体言接続,だ	"助動詞","助動詞-ダ","連体形-一般","だ"
7G	Yes	助動詞,*,*,*,特殊・ダ,連用形,だ	"助動詞","助動詞-ダ","連用形-一般","だ"
7H	Yes	助動詞,*,*,*,特殊・ダ,連用タ接続,だ	"助動詞","助動詞-ダ","連用形-促音便","だ"
7Z	Yes	助詞,副助詞,*,*,*,*,じゃ	"助詞-副助詞","*","*","じゃ"
80	No	助動詞,*,*,*,*,*,*	"助動詞","*","*","*"
81	Yes	助動詞,*,*,*,文語・ベシ,体言接続,べし	"助動詞","文語助動詞-ベシ","連体形-一般","べし"
82	Yes	助動詞,*,*,*,特殊・ヌ,連用ニ接続,ぬ	"助動詞","助動詞-ヌ","連用形-一般","*"
83	Yes	助動詞,*,*,*,特殊・ヌ,基本形,ぬ; 助動詞,*,*,*,不変化型,基本形,ん	"助動詞","助動詞-ヌ","終止形-一般","*"; "助動詞","助動詞-ヌ","連体形-一般","*"; "助動詞","助動詞-ヌ","終止形-撥音便","*"; "助動詞","助動詞-ヌ","連体形-撥音便","*"
84	Yes	助動詞,*,*,*,特殊・ヌ,仮定形,ぬ	"助動詞","*","仮定形-一般","*"
88	Yes	助動詞,*,*,*,特殊・タ,基本形,た	"助動詞", "助動詞-タ", "連体形-一般", "た"
89	Yes	助動詞,*,*,*,特殊・タ,基本形,だ	"助動詞", "助動詞-ダ", "終止形-一般", "だ"
8N	Yes	助動詞,*,*,*,特殊・タ,未然形,た; 助動詞,*,*,*,特殊・ダ,未然形,だ	"助動詞","助動詞-ダ","意志推量形","だ"
90	No	*,*,*,*,*,*,*	*,*,*,*